id,name,type,is_seed
DragaDoncila,Draga Doncila Pop,user,False
goanpeca,Gonzalo Peña-Castellanos,user,False
chili-chiu,chili-chiu,user,False
Carreau,M Bussonnier,user,False
pre-commit-ci[bot],pre-commit-ci[bot],user,False
melissawm,Melissa Weber Mendonça,user,False
kephale,Kyle I S Harrington,user,False
ctrueden,Curtis Rueden,user,False
FabianIsensee,Fabian Isensee,user,False
Yulv-git,Yulv-git,user,False
PeterMFull,PeterMFull,user,False
joshmoore,Josh Moore,user,False
ziqiangxu,Daryl.Xu,user,False
manics,Simon Li,user,False
joshestein,Josh Stein,user,False
sten2lu,Carsten L,user,False
jagh,John Garcia Henao,user,False
Karol-G,Karol Gotkowski,user,False
pdelgado248,Pablo Delgado-Rodriguez,user,False
arthursw,Arthur Masson,user,False
shyuep,Shyue Ping Ong,user,False
setten,Michiel van Setten,user,False
wmdrichards,Will Richards,user,False
gmatteo,Matteo Giantomassi,user,False
xhqu1981,Xiaohui Qu,user,False
montoyjh,Joseph Montoya,user,False
computron,Anubhav Jain,user,False
hautierg,Geoffroy Hautier,user,False
sdacek,Stephen Dacek,user,False
matk86,Kiran Mathew,user,False
jhupiterz,jhupiterz,user,False
Joannaakl27,Joanna Akl,user,False
yuzhang0302,Yu Zhang,user,False
keenanjohnson,Keenan Johnson,user,False
armandoteran,Armando,user,False
zywangdylan,Dylan (Zhenyuan) Wang,user,False
db0sch,"Dimitri ""dbo"" Bosch",user,False
Lomig,Lomig,user,False
footprintzero,Footprint Zero,user,False
aachman98,Punya Aachman,user,False
taylorhickem,Taylor W Hickem,user,False
CORPSE-SYS,CORPSE-SYS,user,False
zebus3d,zebus3d,user,False
SevenNeumann,Mark,user,False
devilvalley,袁腾鹏,user,False
tm9k1,Piyush Aggarwal,user,False
lacan,Olivier Burri,user,False
lguerard,Laurent Guerard,user,False
UniversalBuilder,Yannick KREMPP,user,False
jdelgadozmb,jdelgadozmb,user,False
justinbois-datacamp,justinbois-datacamp,user,False
justinbois,Justin Bois,user,False
imagejan,Jan Eglinger,user,False
smsaladi,Shyam Saladi,user,False
jimn2,jimn2,user,False
mike-ferguson,Michael Ferguson ,user,False
mschrimpf,Martin Schrimpf,user,False
kvfairchild,Katherine Fairchild,user,False
KartikP,Kartik Pradeepan,user,False
samwinebrake,Sam Winebrake,user,False
gdelfe,Gino Del Ferraro,user,False
Caleb-Littlejohn,Caleb-Littlejohn,user,False
shehadak,Khaled Shehada,user,False
themattinthehatt,Matt Whiteway,user,False
ofonder,ofonder,user,False
semihgunel,semihgunel,user,False
julien-h,Julien H,user,False
ramdya,ramdya,user,False
rjdmoore,rjdmoore,user,False
richardjdm,Richard Moore,user,False
jtx1999,Tianxing Jiang,user,False
raghavprasad13,Raghav Prasad,user,False
alucchi,Aurelien Lucchi,user,False
martinjaggi,Martin Jaggi,user,False
pgrnar,pgrnar,user,False
yk,Yannic Kilcher,user,False
XinruiLyu,xlyu,user,False
octavian-ganea,Octavian Ganea,user,False
yataobian,Yatao Bian,user,False
nushib,Besmira Nushi,user,False
yix081,Yifan Xu,user,False
HappyCodingA,HappyCodingA,user,False
andy-sweet,Andy Sweet,user,False
dstansby,David Stansby,user,False
zoccoler,Marcelo Zoccoler,user,False
brisvag,Lorenzo Gaifas,user,False
